2023-10-22 13:40:11,054 - websocket_consumer.py[line:185] - INFO# Waiting for message.
2023-10-22 13:40:11,055 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953195, Kline_1s timestep: 1697953195
2023-10-22 13:40:11,060 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953196, Kline_1s timestep: 1697953196
2023-10-22 13:40:11,062 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953197, Kline_1s timestep: 1697953197
2023-10-22 13:40:11,065 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953198, Kline_1s timestep: 1697953198
2023-10-22 13:40:11,068 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953199, Kline_1s timestep: 1697953199
2023-10-22 13:40:11,070 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953200, Kline_1s timestep: 1697953200
2023-10-22 13:40:11,073 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953201, Kline_1s timestep: 1697953201
2023-10-22 13:40:11,075 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953202, Kline_1s timestep: 1697953202
2023-10-22 13:40:11,078 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1697953202
2023-10-22 13:40:11,079 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953203, Kline_1s timestep: 1697953203
2023-10-22 13:40:11,082 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953204, Kline_1s timestep: 1697953204
2023-10-22 13:40:11,084 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953205, Kline_1s timestep: 1697953205
2023-10-22 13:40:11,087 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953206, Kline_1s timestep: 1697953206
2023-10-22 13:40:11,089 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953207, Kline_1s timestep: 1697953207
2023-10-22 13:40:11,092 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953208, Kline_1s timestep: 1697953208
2023-10-22 13:40:11,094 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953209, Kline_1s timestep: 1697953209
2023-10-22 13:40:11,097 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953210, Kline_1s timestep: 1697953210
2023-10-22 13:40:11,879 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953211, Kline_1s timestep: 1697953211
2023-10-22 13:40:12,968 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953212, Kline_1s timestep: 1697953212
2023-10-22 13:40:13,901 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953213, Kline_1s timestep: 1697953213
2023-10-22 13:40:14,876 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953214, Kline_1s timestep: 1697953214
2023-10-22 13:40:15,879 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953215, Kline_1s timestep: 1697953215
2023-10-22 13:40:16,886 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953216, Kline_1s timestep: 1697953216
2023-10-22 13:40:17,885 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953217, Kline_1s timestep: 1697953217
2023-10-22 13:40:18,881 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953218, Kline_1s timestep: 1697953218
2023-10-22 13:40:19,885 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953219, Kline_1s timestep: 1697953219
2023-10-22 13:40:20,888 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953220, Kline_1s timestep: 1697953220
2023-10-22 13:40:21,885 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953221, Kline_1s timestep: 1697953221
2023-10-22 13:40:22,881 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953222, Kline_1s timestep: 1697953222
2023-10-22 13:40:23,879 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953223, Kline_1s timestep: 1697953223
2023-10-22 13:40:24,879 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953224, Kline_1s timestep: 1697953224
2023-10-22 13:40:25,884 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953225, Kline_1s timestep: 1697953225
2023-10-22 13:40:26,881 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953226, Kline_1s timestep: 1697953226
2023-10-22 13:40:27,876 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953227, Kline_1s timestep: 1697953227
2023-10-22 13:40:28,881 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953228, Kline_1s timestep: 1697953228
2023-10-22 13:40:29,881 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953229, Kline_1s timestep: 1697953229
2023-10-22 13:40:30,881 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953230, Kline_1s timestep: 1697953230
2023-10-22 13:40:31,877 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953231, Kline_1s timestep: 1697953231
2023-10-22 13:40:32,880 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953232, Kline_1s timestep: 1697953232
2023-10-22 13:40:33,878 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953233, Kline_1s timestep: 1697953233
2023-10-22 13:40:34,879 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953234, Kline_1s timestep: 1697953234
2023-10-22 13:40:35,882 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953235, Kline_1s timestep: 1697953235
2023-10-22 13:40:36,882 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953236, Kline_1s timestep: 1697953236
2023-10-22 13:40:37,880 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953237, Kline_1s timestep: 1697953237
2023-10-22 13:40:38,881 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953238, Kline_1s timestep: 1697953238
2023-10-22 13:40:39,879 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953239, Kline_1s timestep: 1697953239
2023-10-22 13:40:40,880 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953240, Kline_1s timestep: 1697953240
2023-10-22 13:40:41,882 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953241, Kline_1s timestep: 1697953241
2023-10-22 13:40:42,883 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953242, Kline_1s timestep: 1697953242
2023-10-22 13:40:43,882 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953243, Kline_1s timestep: 1697953243
2023-10-22 13:40:44,881 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953244, Kline_1s timestep: 1697953244
2023-10-22 13:40:45,882 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953245, Kline_1s timestep: 1697953245
2023-10-22 13:40:46,880 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953246, Kline_1s timestep: 1697953246
2023-10-22 13:40:47,883 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953247, Kline_1s timestep: 1697953247
2023-10-22 13:40:48,882 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953248, Kline_1s timestep: 1697953248
2023-10-22 13:40:49,884 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953249, Kline_1s timestep: 1697953249
2023-10-22 13:40:50,880 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697953250, Kline_1s timestep: 1697953250
