2023-10-29 20:37:01,818 - websocket_consumer.py[line:213] - INFO# Waiting for message.
2023-10-29 20:37:04,597 - websocket_consumer.py[line:177] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698583022
2023-10-29 20:37:05,599 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583025, Kline_1s timestep: 1698583025
2023-10-29 20:37:06,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583026, Kline_1s timestep: 1698583026
2023-10-29 20:37:08,588 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583028, Kline_1s timestep: 1698583028
2023-10-29 20:37:09,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583029, Kline_1s timestep: 1698583029
2023-10-29 20:37:10,609 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583030, Kline_1s timestep: 1698583030
2023-10-29 20:37:11,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583031, Kline_1s timestep: 1698583031
2023-10-29 20:37:12,608 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583032, Kline_1s timestep: 1698583032
2023-10-29 20:37:13,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583033, Kline_1s timestep: 1698583033
2023-10-29 20:37:14,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583034, Kline_1s timestep: 1698583034
2023-10-29 20:37:15,606 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583035, Kline_1s timestep: 1698583035
2023-10-29 20:37:16,608 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583036, Kline_1s timestep: 1698583036
2023-10-29 20:37:17,606 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583037, Kline_1s timestep: 1698583037
2023-10-29 20:37:18,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583038, Kline_1s timestep: 1698583038
2023-10-29 20:37:20,597 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583040, Kline_1s timestep: 1698583040
2023-10-29 20:37:22,590 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583042, Kline_1s timestep: 1698583042
2023-10-29 20:37:23,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583043, Kline_1s timestep: 1698583043
2023-10-29 20:37:24,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583044, Kline_1s timestep: 1698583044
2023-10-29 20:37:26,597 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583046, Kline_1s timestep: 1698583046
2023-10-29 20:37:27,608 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583047, Kline_1s timestep: 1698583047
2023-10-29 20:37:28,612 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583048, Kline_1s timestep: 1698583048
2023-10-29 20:37:30,598 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583050, Kline_1s timestep: 1698583050
