2023-10-23 15:07:38,915 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:04,position:0.0,output_action:0,price_info:{'bid1_price': 30654.74, 'bid1_size': 6.51702, 'bid2_price': 30654.7, 'bid2_size': 0.00044, 'bid3_price': 30654.57, 'bid3_size': 0.3, 'bid4_price': 30654.56, 'bid4_size': 0.00022, 'bid5_price': 30654.5, 'bid5_size': 0.00146, 'ask1_price': 30654.75, 'ask1_size': 2.66094, 'ask2_price': 30654.98, 'ask2_size': 0.00022, 'ask3_price': 30655.12, 'ask3_size': 0.00022, 'ask4_price': 30655.18, 'ask4_size': 0.00146, 'ask5_price': 30655.26, 'ask5_size': 0.00022, 'timestep': 1698044824039.0}
2023-10-23 15:07:38,915 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:04,position:0.0,output_action:0,price_info:{'bid1_price': 30654.74, 'bid1_size': 6.51702, 'bid2_price': 30654.7, 'bid2_size': 0.00044, 'bid3_price': 30654.57, 'bid3_size': 0.3, 'bid4_price': 30654.56, 'bid4_size': 0.00022, 'bid5_price': 30654.5, 'bid5_size': 0.00146, 'ask1_price': 30654.75, 'ask1_size': 2.66094, 'ask2_price': 30654.98, 'ask2_size': 0.00022, 'ask3_price': 30655.12, 'ask3_size': 0.00022, 'ask4_price': 30655.18, 'ask4_size': 0.00146, 'ask5_price': 30655.26, 'ask5_size': 0.00022, 'timestep': 1698044824039.0}
2023-10-23 15:07:44,070 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:05,position:0.0,output_action:0,price_info:{'bid1_price': 30649.99, 'bid1_size': 0.07203, 'bid2_price': 30649.94, 'bid2_size': 0.00022, 'bid3_price': 30649.8, 'bid3_size': 0.00022, 'bid4_price': 30649.74, 'bid4_size': 0.00146, 'bid5_price': 30649.66, 'bid5_size': 0.00044, 'ask1_price': 30650.0, 'ask1_size': 6.97159, 'ask2_price': 30650.01, 'ask2_size': 0.00047, 'ask3_price': 30650.02, 'ask3_size': 0.00067, 'ask4_price': 30650.03, 'ask4_size': 0.5, 'ask5_price': 30650.42, 'ask5_size': 0.00146, 'timestep': 1698044825038.0}
2023-10-23 15:07:44,070 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:05,position:0.0,output_action:0,price_info:{'bid1_price': 30649.99, 'bid1_size': 0.07203, 'bid2_price': 30649.94, 'bid2_size': 0.00022, 'bid3_price': 30649.8, 'bid3_size': 0.00022, 'bid4_price': 30649.74, 'bid4_size': 0.00146, 'bid5_price': 30649.66, 'bid5_size': 0.00044, 'ask1_price': 30650.0, 'ask1_size': 6.97159, 'ask2_price': 30650.01, 'ask2_size': 0.00047, 'ask3_price': 30650.02, 'ask3_size': 0.00067, 'ask4_price': 30650.03, 'ask4_size': 0.5, 'ask5_price': 30650.42, 'ask5_size': 0.00146, 'timestep': 1698044825038.0}
2023-10-23 15:07:44,520 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:06,position:0.0,output_action:0,price_info:{'bid1_price': 30649.99, 'bid1_size': 0.05925, 'bid2_price': 30649.94, 'bid2_size': 0.00022, 'bid3_price': 30649.8, 'bid3_size': 0.00022, 'bid4_price': 30649.74, 'bid4_size': 0.00146, 'bid5_price': 30649.66, 'bid5_size': 0.00044, 'ask1_price': 30650.0, 'ask1_size': 5.89941, 'ask2_price': 30650.01, 'ask2_size': 0.00047, 'ask3_price': 30650.02, 'ask3_size': 0.00067, 'ask4_price': 30650.03, 'ask4_size': 0.5, 'ask5_price': 30650.22, 'ask5_size': 0.00022, 'timestep': 1698044826038.0}
2023-10-23 15:07:44,520 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:06,position:0.0,output_action:0,price_info:{'bid1_price': 30649.99, 'bid1_size': 0.05925, 'bid2_price': 30649.94, 'bid2_size': 0.00022, 'bid3_price': 30649.8, 'bid3_size': 0.00022, 'bid4_price': 30649.74, 'bid4_size': 0.00146, 'bid5_price': 30649.66, 'bid5_size': 0.00044, 'ask1_price': 30650.0, 'ask1_size': 5.89941, 'ask2_price': 30650.01, 'ask2_size': 0.00047, 'ask3_price': 30650.02, 'ask3_size': 0.00067, 'ask4_price': 30650.03, 'ask4_size': 0.5, 'ask5_price': 30650.22, 'ask5_size': 0.00022, 'timestep': 1698044826038.0}
2023-10-23 15:07:45,095 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:07,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 0.46469, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 6.46531, 'ask2_price': 30648.73, 'ask2_size': 1.81668, 'ask3_price': 30648.96, 'ask3_size': 0.00022, 'ask4_price': 30649.06, 'ask4_size': 0.00146, 'ask5_price': 30649.1, 'ask5_size': 0.00022, 'timestep': 1698044827038.0}
2023-10-23 15:07:45,095 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:07,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 0.46469, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 6.46531, 'ask2_price': 30648.73, 'ask2_size': 1.81668, 'ask3_price': 30648.96, 'ask3_size': 0.00022, 'ask4_price': 30649.06, 'ask4_size': 0.00146, 'ask5_price': 30649.1, 'ask5_size': 0.00022, 'timestep': 1698044827038.0}
2023-10-23 15:07:45,645 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:08,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 1.63816, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 6.55768, 'ask2_price': 30648.73, 'ask2_size': 1.59853, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.96, 'ask5_size': 0.00022, 'timestep': 1698044828038.0}
2023-10-23 15:07:45,645 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:08,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 1.63816, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 6.55768, 'ask2_price': 30648.73, 'ask2_size': 1.59853, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.96, 'ask5_size': 0.00022, 'timestep': 1698044828038.0}
2023-10-23 15:07:46,157 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:09,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 3.09839, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 4.56701, 'ask2_price': 30648.73, 'ask2_size': 1.59853, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.96, 'ask5_size': 0.00022, 'timestep': 1698044829038.0}
2023-10-23 15:07:46,157 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:09,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 3.09839, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 4.56701, 'ask2_price': 30648.73, 'ask2_size': 1.59853, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.96, 'ask5_size': 0.00022, 'timestep': 1698044829038.0}
2023-10-23 15:07:46,655 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:10,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 2.98771, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 4.53639, 'ask2_price': 30648.73, 'ask2_size': 1.59853, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.96, 'ask5_size': 0.00022, 'timestep': 1698044830038.0}
2023-10-23 15:07:46,655 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:10,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 2.98771, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 4.53639, 'ask2_price': 30648.73, 'ask2_size': 1.59853, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.96, 'ask5_size': 0.00022, 'timestep': 1698044830038.0}
2023-10-23 15:07:47,151 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:11,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 3.05609, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.22864, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 4.66811, 'ask2_price': 30648.73, 'ask2_size': 1.29853, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.96, 'ask5_size': 0.00022, 'timestep': 1698044831039.0}
2023-10-23 15:07:47,151 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:11,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 3.05609, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.22864, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 4.66811, 'ask2_price': 30648.73, 'ask2_size': 1.29853, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.96, 'ask5_size': 0.00022, 'timestep': 1698044831039.0}
2023-10-23 15:07:47,665 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:12,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 3.90394, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.61, 'bid3_size': 0.0003, 'bid4_price': 30648.58, 'bid4_size': 0.00022, 'bid5_price': 30648.56, 'bid5_size': 0.00033, 'ask1_price': 30648.72, 'ask1_size': 3.36826, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.82, 'ask4_size': 0.0003, 'ask5_price': 30648.92, 'ask5_size': 0.00033, 'timestep': 1698044832038.0}
2023-10-23 15:07:47,665 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:12,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 3.90394, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.61, 'bid3_size': 0.0003, 'bid4_price': 30648.58, 'bid4_size': 0.00022, 'bid5_price': 30648.56, 'bid5_size': 0.00033, 'ask1_price': 30648.72, 'ask1_size': 3.36826, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.82, 'ask4_size': 0.0003, 'ask5_price': 30648.92, 'ask5_size': 0.00033, 'timestep': 1698044832038.0}
2023-10-23 15:07:48,182 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:13,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 3.59685, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00063, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 3.58892, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.77, 'ask3_size': 0.0003, 'ask4_price': 30648.8, 'ask4_size': 0.00033, 'ask5_price': 30648.92, 'ask5_size': 0.00033, 'timestep': 1698044833038.0}
2023-10-23 15:07:48,182 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:13,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 3.59685, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00063, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 3.58892, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.77, 'ask3_size': 0.0003, 'ask4_price': 30648.8, 'ask4_size': 0.00033, 'ask5_price': 30648.92, 'ask5_size': 0.00033, 'timestep': 1698044833038.0}
2023-10-23 15:07:48,691 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:14,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 0.46106, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 5.99385, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.93, 'ask5_size': 0.3, 'timestep': 1698044834039.0}
2023-10-23 15:07:48,691 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:14,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 0.46106, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 5.99385, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.93, 'ask5_size': 0.3, 'timestep': 1698044834039.0}
2023-10-23 15:07:49,244 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:15,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 2.68967, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 4.02072, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.93, 'ask5_size': 0.3, 'timestep': 1698044835039.0}
2023-10-23 15:07:49,244 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:15,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 2.68967, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 4.02072, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.93, 'ask5_size': 0.3, 'timestep': 1698044835039.0}
2023-10-23 15:07:49,764 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:16,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 2.8936, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 3.99072, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.93, 'ask5_size': 0.3, 'timestep': 1698044836039.0}
2023-10-23 15:07:49,764 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:16,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 2.8936, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 3.99072, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.93, 'ask5_size': 0.3, 'timestep': 1698044836039.0}
2023-10-23 15:07:50,279 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:17,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 2.60182, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 5.47764, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.93, 'ask5_size': 0.3, 'timestep': 1698044837040.0}
2023-10-23 15:07:50,279 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:17,position:0.0,output_action:0,price_info:{'bid1_price': 30648.71, 'bid1_size': 2.60182, 'bid2_price': 30648.68, 'bid2_size': 0.00022, 'bid3_price': 30648.58, 'bid3_size': 0.00022, 'bid4_price': 30648.56, 'bid4_size': 0.00033, 'bid5_price': 30648.54, 'bid5_size': 0.00022, 'ask1_price': 30648.72, 'ask1_size': 5.47764, 'ask2_price': 30648.73, 'ask2_size': 0.00067, 'ask3_price': 30648.8, 'ask3_size': 0.00033, 'ask4_price': 30648.92, 'ask4_size': 0.00033, 'ask5_price': 30648.93, 'ask5_size': 0.3, 'timestep': 1698044837040.0}
2023-10-23 15:07:50,792 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:07:18,position:0.0,output_action:0,price_info:{'bid1_price': 30645.32, 'bid1_size': 1.1213, 'bid2_price': 30645.2, 'bid2_size': 0.00068, 'bid3_price': 30645.16, 'bid3_size': 0.00068, 'bid4_price': 30645.09, 'bid4_size': 0.00023, 'bid5_price': 30645.08, 'bid5_size': 0.00033, 'ask1_price': 30645.33, 'ask1_size': 6.95851, 'ask2_price': 30645.35, 'ask2_size': 0.78731, 'ask3_price': 30645.57, 'ask3_size': 0.65, 'ask4_price': 30645.58, 'ask4_size': 0.01342, 'ask5_price': 30645.59, 'ask5_size': 1.5053, 'timestep': 1698044838039.0}
