2023-10-24 14:43:04,469 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:03,position:0.0,output_action:0,price_info:{'bid1_price': 33904.08, 'bid1_size': 7.14538, 'bid2_price': 33903.78, 'bid2_size': 0.2, 'bid3_price': 33903.7, 'bid3_size': 0.00022, 'bid4_price': 33903.39, 'bid4_size': 0.00122, 'bid5_price': 33903.34, 'bid5_size': 0.00022, 'ask1_price': 33904.09, 'ask1_size': 1.89584, 'ask2_price': 33904.11, 'ask2_size': 0.00122, 'ask3_price': 33904.42, 'ask3_size': 0.00022, 'ask4_price': 33904.47, 'ask4_size': 0.00122, 'ask5_price': 33904.75, 'ask5_size': 0.29496}
2023-10-24 14:43:04,469 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:03,position:0.0,output_action:0,price_info:{'bid1_price': 33904.08, 'bid1_size': 7.14538, 'bid2_price': 33903.78, 'bid2_size': 0.2, 'bid3_price': 33903.7, 'bid3_size': 0.00022, 'bid4_price': 33903.39, 'bid4_size': 0.00122, 'bid5_price': 33903.34, 'bid5_size': 0.00022, 'ask1_price': 33904.09, 'ask1_size': 1.89584, 'ask2_price': 33904.11, 'ask2_size': 0.00122, 'ask3_price': 33904.42, 'ask3_size': 0.00022, 'ask4_price': 33904.47, 'ask4_size': 0.00122, 'ask5_price': 33904.75, 'ask5_size': 0.29496}
2023-10-24 14:43:04,469 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:03,position:0.0,output_action:0,price_info:{'bid1_price': 33904.08, 'bid1_size': 7.14538, 'bid2_price': 33903.78, 'bid2_size': 0.2, 'bid3_price': 33903.7, 'bid3_size': 0.00022, 'bid4_price': 33903.39, 'bid4_size': 0.00122, 'bid5_price': 33903.34, 'bid5_size': 0.00022, 'ask1_price': 33904.09, 'ask1_size': 1.89584, 'ask2_price': 33904.11, 'ask2_size': 0.00122, 'ask3_price': 33904.42, 'ask3_size': 0.00022, 'ask4_price': 33904.47, 'ask4_size': 0.00122, 'ask5_price': 33904.75, 'ask5_size': 0.29496}
2023-10-24 14:43:06,191 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:04,position:0.0,output_action:0,price_info:{'bid1_price': 33909.82, 'bid1_size': 5.76066, 'bid2_price': 33909.81, 'bid2_size': 0.24998, 'bid3_price': 33909.46, 'bid3_size': 0.00022, 'bid4_price': 33909.29, 'bid4_size': 0.24998, 'bid5_price': 33909.15, 'bid5_size': 0.00122, 'ask1_price': 33909.83, 'ask1_size': 3.92426, 'ask2_price': 33909.87, 'ask2_size': 0.00122, 'ask3_price': 33909.9, 'ask3_size': 0.03342, 'ask4_price': 33910.0, 'ask4_size': 0.05898, 'ask5_price': 33910.18, 'ask5_size': 0.00022}
2023-10-24 14:43:06,191 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:04,position:0.0,output_action:0,price_info:{'bid1_price': 33909.82, 'bid1_size': 5.76066, 'bid2_price': 33909.81, 'bid2_size': 0.24998, 'bid3_price': 33909.46, 'bid3_size': 0.00022, 'bid4_price': 33909.29, 'bid4_size': 0.24998, 'bid5_price': 33909.15, 'bid5_size': 0.00122, 'ask1_price': 33909.83, 'ask1_size': 3.92426, 'ask2_price': 33909.87, 'ask2_size': 0.00122, 'ask3_price': 33909.9, 'ask3_size': 0.03342, 'ask4_price': 33910.0, 'ask4_size': 0.05898, 'ask5_price': 33910.18, 'ask5_size': 0.00022}
2023-10-24 14:43:06,191 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:04,position:0.0,output_action:0,price_info:{'bid1_price': 33909.82, 'bid1_size': 5.76066, 'bid2_price': 33909.81, 'bid2_size': 0.24998, 'bid3_price': 33909.46, 'bid3_size': 0.00022, 'bid4_price': 33909.29, 'bid4_size': 0.24998, 'bid5_price': 33909.15, 'bid5_size': 0.00122, 'ask1_price': 33909.83, 'ask1_size': 3.92426, 'ask2_price': 33909.87, 'ask2_size': 0.00122, 'ask3_price': 33909.9, 'ask3_size': 0.03342, 'ask4_price': 33910.0, 'ask4_size': 0.05898, 'ask5_price': 33910.18, 'ask5_size': 0.00022}
2023-10-24 14:43:06,789 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:05,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.46903, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.71, 'bid4_size': 0.00122, 'bid5_price': 33907.66, 'bid5_size': 0.00022, 'ask1_price': 33908.13, 'ask1_size': 6.9409, 'ask2_price': 33908.8, 'ask2_size': 0.45195, 'ask3_price': 33909.15, 'ask3_size': 0.00122, 'ask4_price': 33909.18, 'ask4_size': 0.45, 'ask5_price': 33909.3, 'ask5_size': 0.53913}
2023-10-24 14:43:06,789 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:05,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.46903, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.71, 'bid4_size': 0.00122, 'bid5_price': 33907.66, 'bid5_size': 0.00022, 'ask1_price': 33908.13, 'ask1_size': 6.9409, 'ask2_price': 33908.8, 'ask2_size': 0.45195, 'ask3_price': 33909.15, 'ask3_size': 0.00122, 'ask4_price': 33909.18, 'ask4_size': 0.45, 'ask5_price': 33909.3, 'ask5_size': 0.53913}
2023-10-24 14:43:06,789 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:05,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.46903, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.71, 'bid4_size': 0.00122, 'bid5_price': 33907.66, 'bid5_size': 0.00022, 'ask1_price': 33908.13, 'ask1_size': 6.9409, 'ask2_price': 33908.8, 'ask2_size': 0.45195, 'ask3_price': 33909.15, 'ask3_size': 0.00122, 'ask4_price': 33909.18, 'ask4_size': 0.45, 'ask5_price': 33909.3, 'ask5_size': 0.53913}
2023-10-24 14:43:07,063 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:06,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.47854, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.94, 'bid4_size': 0.14434, 'bid5_price': 33907.71, 'bid5_size': 0.00122, 'ask1_price': 33908.13, 'ask1_size': 7.76467, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
2023-10-24 14:43:07,063 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:06,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.47854, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.94, 'bid4_size': 0.14434, 'bid5_price': 33907.71, 'bid5_size': 0.00122, 'ask1_price': 33908.13, 'ask1_size': 7.76467, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
