2023-10-24 16:25:03,073 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:02,position:0.0,output_action:0,price_info:{'bid1_price': 34109.64, 'bid1_size': 4.53634, 'bid2_price': 34109.62, 'bid2_size': 0.00022, 'bid3_price': 34109.6, 'bid3_size': 0.3, 'bid4_price': 34109.57, 'bid4_size': 0.5863, 'bid5_price': 34109.35, 'bid5_size': 0.34547, 'ask1_price': 34109.65, 'ask1_size': 8.71486, 'ask2_price': 34110.34, 'ask2_size': 0.00022, 'ask3_price': 34110.55, 'ask3_size': 0.1, 'ask4_price': 34110.7, 'ask4_size': 0.00022, 'ask5_price': 34111.06, 'ask5_size': 0.00022}
2023-10-24 16:25:04,214 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:03,position:0.0,output_action:0,price_info:{'bid1_price': 34109.64, 'bid1_size': 4.74199, 'bid2_price': 34109.62, 'bid2_size': 0.00022, 'bid3_price': 34109.6, 'bid3_size': 0.3, 'bid4_price': 34109.57, 'bid4_size': 0.5863, 'bid5_price': 34109.35, 'bid5_size': 0.34547, 'ask1_price': 34109.65, 'ask1_size': 8.2126, 'ask2_price': 34110.34, 'ask2_size': 0.00022, 'ask3_price': 34110.55, 'ask3_size': 0.1, 'ask4_price': 34110.7, 'ask4_size': 0.00022, 'ask5_price': 34111.06, 'ask5_size': 0.00022}
2023-10-24 16:25:05,710 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:04,position:0.0,output_action:0,price_info:{'bid1_price': 34109.64, 'bid1_size': 4.7159, 'bid2_price': 34109.62, 'bid2_size': 0.00022, 'bid3_price': 34109.6, 'bid3_size': 0.3, 'bid4_price': 34109.57, 'bid4_size': 0.5863, 'bid5_price': 34109.52, 'bid5_size': 0.02345, 'ask1_price': 34109.65, 'ask1_size': 7.79719, 'ask2_price': 34110.34, 'ask2_size': 0.00022, 'ask3_price': 34110.55, 'ask3_size': 0.1, 'ask4_price': 34110.7, 'ask4_size': 0.00022, 'ask5_price': 34111.06, 'ask5_size': 0.00022}
2023-10-24 16:25:06,533 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:05,position:0.0,output_action:0,price_info:{'bid1_price': 34109.64, 'bid1_size': 6.4318, 'bid2_price': 34109.62, 'bid2_size': 0.00022, 'bid3_price': 34109.6, 'bid3_size': 0.3, 'bid4_price': 34109.57, 'bid4_size': 0.5863, 'bid5_price': 34109.54, 'bid5_size': 0.14498, 'ask1_price': 34109.65, 'ask1_size': 0.15591, 'ask2_price': 34110.34, 'ask2_size': 0.00022, 'ask3_price': 34110.55, 'ask3_size': 0.1, 'ask4_price': 34110.7, 'ask4_size': 0.00022, 'ask5_price': 34111.06, 'ask5_size': 0.36255}
2023-10-24 16:25:07,028 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:06,position:0.0,output_action:0,price_info:{'bid1_price': 34109.64, 'bid1_size': 10.38, 'bid2_price': 34109.62, 'bid2_size': 0.00022, 'bid3_price': 34109.6, 'bid3_size': 0.3, 'bid4_price': 34109.57, 'bid4_size': 0.5863, 'bid5_price': 34109.54, 'bid5_size': 0.14498, 'ask1_price': 34109.65, 'ask1_size': 0.50297, 'ask2_price': 34109.89, 'ask2_size': 0.08646, 'ask3_price': 34110.18, 'ask3_size': 0.3422, 'ask4_price': 34110.34, 'ask4_size': 0.00022, 'ask5_price': 34110.49, 'ask5_size': 0.57927}
2023-10-24 16:25:09,389 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:07,position:0.0,output_action:0,price_info:{'bid1_price': 34109.64, 'bid1_size': 4.34733, 'bid2_price': 34109.62, 'bid2_size': 0.00022, 'bid3_price': 34109.6, 'bid3_size': 0.3, 'bid4_price': 34109.57, 'bid4_size': 0.5863, 'bid5_price': 34109.52, 'bid5_size': 0.02345, 'ask1_price': 34109.65, 'ask1_size': 6.27712, 'ask2_price': 34109.89, 'ask2_size': 0.08646, 'ask3_price': 34110.33, 'ask3_size': 0.06581, 'ask4_price': 34110.34, 'ask4_size': 0.00022, 'ask5_price': 34110.55, 'ask5_size': 0.1}
2023-10-24 16:25:09,638 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:08,position:0.0,output_action:0,price_info:{'bid1_price': 34108.8, 'bid1_size': 5.07545, 'bid2_price': 34108.64, 'bid2_size': 0.37318, 'bid3_price': 34108.59, 'bid3_size': 0.00122, 'bid4_price': 34108.54, 'bid4_size': 0.00022, 'bid5_price': 34108.3, 'bid5_size': 0.3, 'ask1_price': 34108.81, 'ask1_size': 7.11666, 'ask2_price': 34108.95, 'ask2_size': 0.00366, 'ask3_price': 34109.26, 'ask3_size': 0.00022, 'ask4_price': 34109.31, 'ask4_size': 0.00244, 'ask5_price': 34109.32, 'ask5_size': 0.40686}
2023-10-24 16:25:10,000 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:09,position:0.0,output_action:0,price_info:{'bid1_price': 34108.8, 'bid1_size': 1.5008, 'bid2_price': 34108.59, 'bid2_size': 0.00122, 'bid3_price': 34108.54, 'bid3_size': 0.00022, 'bid4_price': 34108.3, 'bid4_size': 0.3, 'bid5_price': 34108.23, 'bid5_size': 0.00122, 'ask1_price': 34108.81, 'ask1_size': 5.50725, 'ask2_price': 34108.95, 'ask2_size': 0.00366, 'ask3_price': 34109.26, 'ask3_size': 0.00022, 'ask4_price': 34109.31, 'ask4_size': 0.00244, 'ask5_price': 34109.32, 'ask5_size': 0.00686}
2023-10-24 16:25:11,071 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:10,position:0.0,output_action:0,price_info:{'bid1_price': 34108.8, 'bid1_size': 9.03317, 'bid2_price': 34108.79, 'bid2_size': 0.02949, 'bid3_price': 34108.71, 'bid3_size': 0.14498, 'bid4_price': 34108.6, 'bid4_size': 0.00065, 'bid5_price': 34108.59, 'bid5_size': 0.00122, 'ask1_price': 34108.81, 'ask1_size': 1.97281, 'ask2_price': 34108.95, 'ask2_size': 0.00366, 'ask3_price': 34109.26, 'ask3_size': 0.00022, 'ask4_price': 34109.31, 'ask4_size': 0.00244, 'ask5_price': 34109.32, 'ask5_size': 0.00686}
2023-10-24 16:25:12,221 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:11,position:0.0,output_action:0,price_info:{'bid1_price': 34108.8, 'bid1_size': 9.06615, 'bid2_price': 34108.79, 'bid2_size': 0.02949, 'bid3_price': 34108.6, 'bid3_size': 0.00065, 'bid4_price': 34108.59, 'bid4_size': 0.00122, 'bid5_price': 34108.54, 'bid5_size': 0.00022, 'ask1_price': 34108.81, 'ask1_size': 1.18853, 'ask2_price': 34108.95, 'ask2_size': 0.00366, 'ask3_price': 34109.0, 'ask3_size': 0.10074, 'ask4_price': 34109.24, 'ask4_size': 0.32487, 'ask5_price': 34109.26, 'ask5_size': 0.00022}
2023-10-24 16:25:13,079 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:12,position:0.0,output_action:0,price_info:{'bid1_price': 34108.8, 'bid1_size': 9.54376, 'bid2_price': 34108.79, 'bid2_size': 0.02949, 'bid3_price': 34108.6, 'bid3_size': 0.00065, 'bid4_price': 34108.59, 'bid4_size': 0.00122, 'bid5_price': 34108.54, 'bid5_size': 0.00022, 'ask1_price': 34108.81, 'ask1_size': 0.57662, 'ask2_price': 34108.95, 'ask2_size': 0.00366, 'ask3_price': 34109.26, 'ask3_size': 0.00022, 'ask4_price': 34109.31, 'ask4_size': 0.00244, 'ask5_price': 34109.32, 'ask5_size': 0.00686}
